epoch,training_loss,training_rmse,validation_loss,validation_rmse,validation_mae,validation_mape,cvalidation_rmse,cvalidation_mae,cvalidation_mape,validation_conAccuracy,validation_nonconAccuracy,test_rmse,test_mae,test_mape,ctest_rmse,ctest_mae,ctest_mape,test_conAccuracy,test_nonconAccuracy
0,311.3423462,4.096495341,31.47683483,3.75,1.413702396,0.031510741,3.584202087,1.482965441,0.034401486,85.71263067,82.91516017,3.368479573,1.384570425,0.030615425,6.57,1.4802051,0.03435297,85.79032081,83.38780941
1,206.36355,3.276682013,29.52771242,3.452868062,1.357521832,0.030122991,3.479113874,1.419096406,0.032837757,86.65104134,83.78847483,3.249144362,1.335469584,0.029335022,3.578875773,1.417608027,0.03272718,86.65435011,84.14319426
2,197.4976975,3.192052951,28.39217378,3.325754443,1.311137789,0.029064589,3.399887072,1.367284239,0.031637022,87.00439351,84.31863055,3.176829676,1.290470031,0.028297406,3.458765382,1.367391804,0.031548032,86.99331719,84.62293518
3,191.8999469,3.143798545,27.55087181,3.251444226,1.283726448,0.028452519,3.363378185,1.340570387,0.0310476,87.22674248,84.72196665,3.134192813,1.263310715,0.027670415,3.382705918,1.339053241,0.030892165,87.2371041,85.00175729
4,187.5110256,3.106589557,26.93498989,3.209592413,1.26345927,0.027751186,3.310437631,1.320435149,0.03028825,87.33502063,84.97709787,3.079998991,1.245942881,0.02701145,3.338431928,1.31815317,0.030082971,87.44901464,85.20961992
5,184.2414104,3.079579425,26.56838751,3.14940421,1.25427334,0.027407473,3.278324184,1.30413158,0.029767555,87.45131939,85.18945855,3.058840709,1.23374996,0.026615272,3.27987734,1.301570281,0.029576882,87.5830301,85.48024301
6,181.5328089,3.060107286,26.06692243,3.128134843,1.23516451,0.026986696,3.25178679,1.286822464,0.029369365,87.61351383,85.3933646,3.027008393,1.215818206,0.02622522,3.252720624,1.283011659,0.029162963,87.8099809,85.73329317
7,179.3589533,3.042108362,25.81648306,3.098376725,1.227818017,0.026704752,3.24037432,1.279511373,0.029110939,87.70842431,85.41176588,3.014743802,1.209841263,0.026001782,3.224394482,1.276014702,0.028933132,87.84477553,85.77396194
8,177.6217091,3.026125002,25.60231616,3.079642573,1.221236429,0.026613995,3.232810149,1.273928529,0.029120866,87.8233863,85.59130266,3.010906585,1.204411554,0.025953114,3.212960489,1.270119494,0.028935827,87.99293332,85.96374956
9,175.13108,3.005240506,25.47112727,3.069024739,1.225473667,0.026473304,3.193685313,1.279020887,0.028850142,88.09296771,85.79620337,2.986969048,1.207423712,0.025768633,3.206523376,1.278009538,0.028793172,88.16039652,86.12190591
