epoch,training_loss,training_rmse,validation_loss,validation_rmse,validation_mae,validation_mape,cvalidation_rmse,cvalidation_mae,cvalidation_mape,validation_conAccuracy,validation_nonconAccuracy,test_rmse,test_mae,test_mape,ctest_rmse,ctest_mae,ctest_mape,test_conAccuracy,test_nonconAccuracy
0,247.0299863,3.703072787,32.17535611,3.528667644,1.42961534,0.031826041,3.670151584,1.51837923,0.03505785,85.22560177,82.59438115,3.462537084,1.406980135,0.031072582,6.7,1.527050604,0.035271489,85.17434356,82.84681428
1,224.3742679,3.505986207,31.31903808,3.488970293,1.392613454,0.031237072,3.628152586,1.478288121,0.03435702,85.58474659,83.02109184,3.425412864,1.371138472,0.030504483,3.70259709,1.486511934,0.034582872,85.53216708,83.28262288
2,218.2208,3.448008077,30.52370159,3.421237421,1.371125937,0.030501657,3.556089362,1.45532409,0.033509287,85.85432801,83.36375346,3.349211782,1.347570247,0.029706693,3.663767479,1.462172075,0.033730992,85.85564492,83.65416478
3,213.9924514,3.403007884,30.12319417,3.39706112,1.362342087,0.030287894,3.544400831,1.445019544,0.033350874,85.94834731,83.53085695,3.324608701,1.338319835,0.029468527,3.592755866,1.44971429,0.033489954,85.99145623,83.86955867
4,211.1428526,3.373352658,29.7656891,3.361082098,1.347121168,0.029913787,3.522191925,1.431508524,0.033028047,86.13193002,83.82030407,3.293130741,1.323991924,0.02912695,3.570027093,1.436099572,0.03315455,86.14343021,84.07767234
5,208.3595068,3.345390837,29.82068818,3.365851666,1.35460672,0.030003571,3.516090819,1.437398987,0.033028493,86.03657395,83.74222297,3.293130741,1.323991924,0.02912695,3.544466132,1.436099572,0.03315455,86.14343021,84.07767234
6,208.8754542,3.349390292,29.40740679,3.336712763,1.338717264,0.029605041,3.498317263,1.422170913,0.032708224,86.18718307,83.94762101,3.266534557,1.315593817,0.028817176,3.544466132,1.426794294,0.032822848,86.2527527,84.22202139
7,206.8147978,3.329687722,29.47148462,3.344581545,1.344957093,0.029801058,3.504101367,1.426527396,0.032866291,86.20010516,83.97945025,3.266534557,1.315593817,0.028817176,3.519237591,1.426794294,0.032822848,86.2527527,84.22202139
8,206.7276531,3.328934139,29.40599392,3.343489882,1.343531862,0.029767469,3.49466534,1.424895067,0.032770776,86.25624939,83.99238088,3.270622679,1.320982637,0.028963089,3.519237591,1.429174239,0.032880728,86.2819353,84.24235578
9,203.4218068,3.297515763,28.90924135,3.30116071,1.322322896,0.029291886,3.45993601,1.405746896,0.032347121,86.42557325,84.22065618,3.230788432,1.300599281,0.028515117,3.514820456,1.409447369,0.032431105,86.48576451,84.47883717
10,202.1288724,3.283695808,28.67311028,3.27507114,1.318499354,0.029060243,3.435139705,1.401127466,0.032099088,86.48349984,84.34399447,3.206817033,1.298539879,0.028316607,3.476772413,1.406472524,0.032211202,86.55063966,84.56142993
11,200.9590411,3.269903654,28.5526608,3.273237549,1.315601822,0.029032066,3.430229347,1.395952964,0.032048987,86.55167497,84.3241012,3.202064116,1.292229959,0.028235526,3.453002247,1.400979493,0.032182327,86.63055508,84.65833208
12,199.9395381,3.258660485,28.45518926,3.261238828,1.30839492,0.028870994,3.425903448,1.389527452,0.031904715,86.65950753,84.51607128,3.190995517,1.287561614,0.028104057,3.452765927,1.396487217,0.032018847,86.66332937,84.75623839
13,199.2396278,3.251308746,28.28630655,3.254990951,1.306153938,0.028864617,3.416837689,1.387462101,0.03189295,86.6323266,84.5180606,3.18277028,1.284610487,0.028081094,3.440866668,1.391641707,0.03198424,86.69543023,84.77858111
14,198.3768939,3.245279734,28.28831323,3.241559261,1.307092497,0.028726226,3.405723744,1.387399614,0.031734901,86.6733208,84.58868172,3.18277028,1.284610487,0.028081094,3.430856683,1.391641707,0.03198424,86.69543023,84.77858111
15,198.0936021,3.240080598,28.26161105,3.26042685,1.303006404,0.028801867,3.424403131,1.38260072,0.031835432,86.57707355,84.51258995,3.194431241,1.28443379,0.028081169,3.430856683,1.389176288,0.031955982,86.61102518,84.68946126
16,197.2780563,3.23179343,28.10609772,3.240559591,1.303100894,0.028681697,3.396475865,1.382980819,0.031631788,86.73570327,84.6289656,3.170498288,1.282800881,0.027917239,3.438727391,1.38963538,0.03178263,86.77197842,84.83983532
17,196.516831,3.223038295,27.93703651,3.231726099,1.295901291,0.02851284,3.393085968,1.373807751,0.031518293,86.78694602,84.74185992,3.160092697,1.275994957,0.027760101,3.415639632,1.381588578,0.031672218,86.77175394,84.87297284
18,195.9001774,3.217407249,27.89712968,3.218906914,1.296934044,0.028486208,3.380180532,1.377102131,0.03145341,86.82081079,84.84480761,3.153540399,1.280115924,0.0277868,3.413614456,1.384651075,0.031612683,86.82697639,84.9171562
19,194.1131484,3.198282881,27.72891583,3.218666734,1.289405249,0.028400413,3.381502791,1.368813863,0.031387474,86.94691251,84.85823557,3.146866816,1.271059969,0.027639088,3.400181438,1.377419117,0.031567446,86.8694034,85.08811568
20,193.4468485,3.192437878,27.61807654,3.206330454,1.291804633,0.028353541,3.368026179,1.369769271,0.031321783,87.01687,84.97958453,3.138960967,1.274501106,0.02763022,3.40264024,1.38056945,0.031527224,86.99399063,85.17698449
21,192.7107828,3.183391878,27.60323988,3.20800746,1.284265223,0.028205006,3.377358855,1.36444996,0.031224997,86.91126538,84.88907014,3.138636651,1.266520476,0.027466253,3.388361087,1.372888535,0.031399192,86.8729951,85.11070944
22,192.0843457,3.176382752,27.67674845,3.189228838,1.295504846,0.028272393,3.354051365,1.373310069,0.031226247,86.94201103,84.9557126,3.138636651,1.266520476,0.027466253,3.392130204,1.372888535,0.031399192,86.8729951,85.11070944
23,192.1825528,3.180210748,27.57492033,3.192346281,1.291127894,0.028172332,3.351987014,1.366743606,0.03105132,86.95181399,84.9666539,3.127557531,1.275064734,0.027466523,3.392130204,1.379079683,0.031285585,86.87681129,85.11899382
24,191.7816028,3.173379563,27.46319465,3.184713453,1.2893911,0.028158381,3.342363527,1.369706523,0.031077907,87.03157444,85.03478836,3.117557537,1.273668468,0.02745014,3.373406692,1.380125964,0.031298118,87.0040923,85.21690014
25,191.169716,3.166571,27.33496084,3.186548639,1.280236825,0.028095212,3.352598759,1.360379737,0.031063972,87.02756414,85.01738175,3.120513281,1.265408855,0.027377268,3.363930502,1.371423317,0.031294343,86.96323666,85.20008033
