epoch,training_loss,training_rmse,validation_loss,validation_rmse,validation_mae,validation_mape,cvalidation_rmse,cvalidation_mae,cvalidation_mape,validation_conAccuracy,validation_nonconAccuracy,test_rmse,test_mae,test_mape,ctest_rmse,ctest_mae,ctest_mape,test_conAccuracy,test_nonconAccuracy
0,288.6737575,4.062200072,38.61709318,3.968730095,1.618095108,0.036236431,4.259941083,1.753540361,0.041430828,83.70398935,81.05616157,3.869488919,1.588320545,0.035195257,6.8,1.728973636,0.040559549,84.03095622,81.44872816
1,263.8763893,3.881040586,38.31295332,3.965365091,1.587695181,0.03578949,4.261268619,1.709887487,0.040809373,83.57559533,80.84384894,3.870236452,1.558083719,0.034767812,4.192027073,1.69085219,0.040043635,83.80648769,81.25994505
2,256.9503895,3.819921609,37.59298401,3.910110768,1.581580179,0.035427792,4.186131636,1.699520949,0.040251301,83.90259886,81.20695605,3.81200248,1.551472794,0.034381317,4.201804024,1.681130841,0.039523589,84.1962477,81.63612871
3,252.4383246,3.778866083,37.5664163,3.909186571,1.583461717,0.035555693,4.188113533,1.695950518,0.040346444,83.88209149,81.13943613,3.807526234,1.552947807,0.034489271,4.130151836,1.677127272,0.039586371,84.1530159,81.62921588
4,249.1118711,3.745894911,36.25244489,3.811133071,1.548296368,0.034609064,4.077970472,1.656842636,0.039233557,84.28711223,81.65258751,3.710103868,1.516446733,0.033537621,4.126107128,1.637126517,0.038464854,84.59375575,82.18463039
5,246.2798916,3.71633217,35.81486422,3.780051312,1.531082799,0.034198184,4.041427438,1.644121959,0.038824374,84.37404568,81.86064889,3.676969007,1.49780895,0.033103785,4.018164,1.621236912,0.038017636,84.72962715,82.36436398
6,244.5239357,3.69721591,35.11902668,3.730411216,1.508186518,0.033683892,3.981945414,1.618094793,0.038183864,84.47702839,81.96017825,3.631960052,1.476749105,0.032634624,3.979933865,1.596529249,0.03739525,84.83854885,82.42180332
7,242.2006021,3.672307174,34.86476061,3.715378537,1.503827196,0.033561715,3.965425862,1.611387033,0.038008955,84.56641382,82.04895444,3.622739273,1.474317318,0.032550881,3.922005032,1.59143781,0.037259456,84.89076389,82.49470226
8,240.57209,3.65647787,34.49098346,3.69323877,1.497313437,0.033383404,3.92812395,1.602907871,0.037706002,84.67274012,82.13723048,3.594337737,1.467236693,0.032328823,3.908840236,1.582919804,0.036963803,84.97206215,82.58645437
9,237.9509245,3.630910707,33.79550784,3.61625765,1.483277542,0.032782393,3.849761682,1.587538796,0.037024813,84.89386317,82.40130839,3.526926572,1.452264223,0.03176185,3.872806517,1.566731974,0.036287993,85.20573849,82.92442894
10,236.0319724,3.611823596,33.60963784,3.606626582,1.471738697,0.032579003,3.847967002,1.578057757,0.036895206,84.92194936,82.43656879,3.519913329,1.441841587,0.031592043,3.798258273,1.556053252,0.036134639,85.2313407,82.91751611
11,234.7271367,3.599529751,33.5021795,3.5985941,1.473013757,0.032531871,3.835249093,1.579871584,0.036818431,84.96184959,82.4993373,3.509449467,1.443365709,0.031539973,3.794522717,1.559952752,0.036060564,85.2524513,82.93599222
12,233.9440367,3.590236019,33.33609152,3.568110529,1.471412141,0.032342426,3.791291587,1.57551819,0.036507983,85.0046476,82.49058472,3.48341872,1.441842324,0.031373601,3.778064167,1.555300912,0.035807597,85.30466634,82.94290505
13,232.1045585,3.572624783,33.11952703,3.552550326,1.465027183,0.032196607,3.786457698,1.570397709,0.03643781,85.0120035,82.59411526,3.472312537,1.436180864,0.031264721,3.747845492,1.548662603,0.035705866,85.32487861,83.01517555
14,231.4405258,3.565009638,33.19665115,3.557343317,1.470528032,0.032224448,3.790578999,1.576291478,0.036459365,84.99127322,82.65013179,3.472312537,1.436180864,0.031264721,3.740817929,1.548662603,0.035705866,85.32487861,83.01517555
15,231.5160696,3.564591528,33.04582612,3.543880957,1.463897351,0.032073491,3.76857939,1.56470619,0.036183928,85.0331796,82.64012884,3.463963611,1.435963213,0.031155018,3.740817929,1.545018508,0.035487015,85.31780432,83.01178198
16,230.3309929,3.555710931,33.066323,3.565053022,1.459083724,0.032144842,3.796918488,1.561367636,0.036355274,85.00799119,82.6481312,3.463963611,1.435963213,0.031155018,3.724288333,1.545018508,0.035487015,85.31780432,83.01178198
17,230.6855438,3.558777119,33.22398312,3.554468051,1.469822327,0.032216968,3.781329475,1.572134499,0.036355463,84.97522397,82.57811054,3.463963611,1.435963213,0.031155018,3.724288333,1.545018508,0.035487015,85.31780432,83.01178198
18,230.6843295,3.559156582,32.84908488,3.540992031,1.456713947,0.032004239,3.755955312,1.558052341,0.036090574,85.09826824,82.66038481,3.458384815,1.427867864,0.031070852,3.724288333,1.536674207,0.035373723,85.41931485,83.05916629
19,228.5856598,3.538374572,32.95642538,3.516660406,1.470096555,0.03196751,3.735743314,1.573063391,0.03604237,84.9482523,82.64262958,3.458384815,1.427867864,0.031070852,3.712059232,1.536674207,0.035373723,85.41931485,83.05916629
20,228.1327072,3.53370335,32.85104984,3.519041352,1.466924667,0.031989108,3.739612853,1.574539472,0.036139885,84.91058114,82.627125,3.458384815,1.427867864,0.031070852,3.712059232,1.536674207,0.035373723,85.41931485,83.05916629
21,228.0934682,3.534335123,32.93682409,3.521753639,1.468396206,0.031976797,3.739861801,1.570998802,0.036047562,84.92596167,82.58536268,3.458384815,1.427867864,0.031070852,3.712059232,1.536674207,0.035373723,85.41931485,83.05916629
