epoch,training_loss,training_rmse,validation_loss,validation_rmse,validation_mae,validation_mape,cvalidation_rmse,cvalidation_mae,cvalidation_mape,validation_conAccuracy,validation_nonconAccuracy,test_rmse,test_mae,test_mape,ctest_rmse,ctest_mae,ctest_mape,test_conAccuracy,test_nonconAccuracy
0,310.0099604,4.170846299,36.16380115,3.825054707,1.561723762,0.03513302,3.962113376,1.637961172,0.038799301,84.38028706,81.19445236,3.686107149,1.520627496,0.033804831,6.9,1.615887003,0.038000988,84.69189757,82.03682151
1,236.7928313,3.603772228,33.26768413,3.587657535,1.468825726,0.032604756,3.674781847,1.51904766,0.035237246,85.29821519,81.79562971,3.449531588,1.431978166,0.031350138,3.904241937,1.49896552,0.034414228,85.60223593,82.58431768
2,221.9470972,3.447187759,32.00387481,3.476903939,1.428866458,0.031434503,3.581931158,1.47513949,0.033952712,85.81691814,82.40080824,3.349470992,1.394442309,0.03026795,3.606964667,1.455414507,0.033193376,86.14437403,83.14124044
3,214.8799126,3.384643036,30.98496469,3.417437319,1.404127577,0.030743747,3.532498955,1.448036981,0.033260444,86.11026283,82.71340045,3.298161939,1.372195323,0.029626168,3.522790309,1.430112829,0.032576331,86.45115143,83.42441511
4,210.4749215,3.347359851,30.26875894,3.369242582,1.387365622,0.030139632,3.486999127,1.428553803,0.032602037,86.34253119,83.14902896,3.247645903,1.354507744,0.029014446,3.48134929,1.410407949,0.031938805,86.73097913,83.87211515
5,206.5202726,3.314289547,29.78166071,3.333470022,1.37780638,0.02969384,3.464957661,1.419253625,0.03216037,86.46401512,83.32683142,3.221050533,1.34719903,0.02863402,3.440753621,1.40172528,0.031511165,86.84147289,83.98008099
6,203.5950514,3.290494389,29.39038613,3.305463015,1.363892369,0.029407877,3.44032041,1.404922649,0.031884882,86.67867389,83.68243632,3.197954984,1.33186533,0.028335383,3.416570947,1.386229291,0.031245401,87.09603525,84.31126842
7,201.2670569,3.271761776,29.25173529,3.294825657,1.356527186,0.029288956,3.430116664,1.397501993,0.031783329,86.84585361,83.91775574,3.186447089,1.32477649,0.028208452,3.396002911,1.377051822,0.031095196,87.26840103,84.58338256
8,199.0852509,3.25435748,29.01348682,3.269448765,1.358256159,0.029192215,3.398912808,1.401028997,0.031687364,86.89556171,84.00028008,3.171880598,1.328895967,0.028194851,3.383023331,1.382604028,0.031053348,87.29063453,84.59218071
9,195.3964223,3.224682613,28.63204776,3.246641846,1.342559959,0.028808,3.378384367,1.381779858,0.031257737,87.08213428,84.32912709,3.148850223,1.314303568,0.02781175,3.355444211,1.366119999,0.030663926,87.47220812,84.85826184
10,193.8500709,3.209615774,28.34597807,3.232546914,1.328801618,0.028634267,3.37584608,1.375803915,0.03125369,87.14098155,84.4491625,3.141494951,1.302726959,0.027693761,3.33943646,1.358081221,0.03062852,87.56698123,84.98860011
11,192.8109735,3.202220961,28.10488293,3.230802251,1.318027177,0.028472624,3.370458917,1.362870649,0.031030152,87.18355665,84.53193692,3.141371927,1.292064622,0.027537179,3.334894257,1.346762386,0.030438057,87.55316951,84.98860011
12,191.0213161,3.187241317,28.08213378,3.225175516,1.320342166,0.028443093,3.36952448,1.369215919,0.031137952,87.1996059,84.53993928,3.138605954,1.295179595,0.02753072,3.334115099,1.350306555,0.030512466,87.60145439,85.09681733
13,190.4208651,3.181287419,28.309876,3.221131159,1.332217791,0.028433693,3.367241949,1.380426083,0.031138584,87.10888304,84.53718847,3.138605954,1.295179595,0.02753072,3.331953334,1.350306555,0.030512466,87.60145439,85.09681733
14,190.4063816,3.181940106,27.93781891,3.217356899,1.317195044,0.028434247,3.359674783,1.363311286,0.031064055,87.23928322,84.5474415,3.13238733,1.291947415,0.027507729,3.331953334,1.345686081,0.03042797,87.60706891,85.10498704
15,189.3217749,3.171715329,28.07037599,3.227532701,1.317599039,0.028390351,3.357301669,1.363289388,0.03093604,87.17508621,84.59095433,3.13238733,1.291947415,0.027507729,3.320489811,1.345686081,0.03042797,87.60706891,85.10498704
16,188.8621142,3.168596234,27.91374733,3.22479533,1.313016616,0.028358384,3.364457479,1.35841818,0.030994889,87.22390269,84.60545861,3.137349501,1.288502595,0.02743486,3.320489811,1.340304077,0.030339286,87.64311413,85.15840437
17,188.1811855,3.162186239,27.88476722,3.216237466,1.321165458,0.028390115,3.350928753,1.371291052,0.031038684,87.35229672,84.81402014,3.135781509,1.298012326,0.027551513,3.325882306,1.355136744,0.030446786,87.69274649,85.24676291
18,187.2040777,3.153927726,27.8335022,3.228961309,1.307439394,0.028372104,3.363433253,1.352117731,0.030952036,87.32042111,84.68448192,3.141894956,1.28458758,0.027457923,3.320008643,1.335604354,0.030356809,87.64558452,85.22615011
19,185.3589023,3.139451003,27.47220387,3.209001308,1.292214443,0.028024374,3.348420891,1.338811715,0.030630531,87.34338046,84.97406735,3.129048565,1.270934332,0.027184133,3.328038377,1.323011319,0.030075395,87.72867942,85.35460307
20,184.0994073,3.128512521,27.45969068,3.200856871,1.297568996,0.028068867,3.342142725,1.346105134,0.030692729,87.42786195,84.96756543,3.119431413,1.273540207,0.027160309,3.321094982,1.327245156,0.030057149,87.81154974,85.43089558
21,183.5145117,3.124631657,27.59749294,3.210620357,1.292426981,0.028006911,3.348878324,1.338157339,0.030569255,87.23348766,84.68973347,3.119431413,1.273540207,0.027160309,3.305828558,1.327245156,0.030057149,87.81154974,85.43089558
22,183.7759495,3.125731485,27.35036462,3.18394586,1.292977661,0.027866146,3.328232871,1.343570456,0.030550566,87.27851473,84.88103991,3.107757957,1.271267231,0.02701655,3.305828558,1.32624491,0.029941683,87.66400014,85.29502704
23,183.3092182,3.121221113,27.49713649,3.194436103,1.295903281,0.027953558,3.337616953,1.338823492,0.030535705,87.38528685,84.93405555,3.107757957,1.271267231,0.02701655,3.29398969,1.32624491,0.029941683,87.66400014,85.29502704
24,182.8853664,3.119069548,27.34002599,3.183238504,1.292395495,0.02782973,3.330482499,1.339075529,0.030473877,87.38773882,84.9240526,3.111268719,1.270722964,0.026998453,3.29398969,1.322357323,0.029875536,87.75293415,85.40336994
25,182.0929846,3.112612239,27.31846731,3.178236448,1.286186871,0.027772367,3.336518509,1.336467334,0.030499872,87.365894,84.97081639,3.111222665,1.266475918,0.026985235,3.297004141,1.317509964,0.029861059,87.73025149,85.38401402
26,181.7822741,3.108345111,27.48392075,3.187472988,1.292596398,0.027771457,3.340553208,1.337518244,0.030444083,87.35987553,84.928804,3.111222665,1.266475918,0.026985235,3.297901486,1.317509964,0.029861059,87.73025149,85.38401402
27,182.0363731,3.110406639,27.30502308,3.188421684,1.28689929,0.027848998,3.338294893,1.330611324,0.030495383,87.41671663,84.9793189,3.110997739,1.263170644,0.02697263,3.297901486,1.311554999,0.029859278,87.78145591,85.48632391
28,181.2575668,3.103258157,27.50050326,3.194688629,1.29313284,0.027904695,3.33881173,1.337104067,0.030468444,87.3057093,84.87278747,3.110997739,1.263170644,0.02697263,3.303733236,1.311554999,0.029859278,87.78145591,85.48632391
29,180.0534645,3.094243596,27.29809396,3.180045855,1.287267684,0.027774012,3.323558832,1.330392946,0.030359245,87.33535584,84.97956897,3.101970369,1.261145782,0.026873846,3.303733236,1.311012362,0.029739698,87.69723811,85.45263957
30,179.5401429,3.091488088,27.42535535,3.17969853,1.295444423,0.027856315,3.328983655,1.339563256,0.030475849,87.29746177,84.90954832,3.101970369,1.261145782,0.026873846,3.287787965,1.311012362,0.029739698,87.69723811,85.45263957
31,179.4774046,3.090703073,27.34798705,3.174848171,1.289590389,0.02770299,3.323262786,1.335417991,0.030305473,87.23549382,84.88704168,3.101970369,1.261145782,0.026873846,3.287787965,1.311012362,0.029739698,87.69723811,85.45263957
32,179.5123487,3.091636142,27.33276592,3.17540168,1.288044038,0.027682879,3.325759666,1.335291804,0.030347615,87.27762311,84.98757133,3.101970369,1.261145782,0.026873846,3.287787965,1.311012362,0.029739698,87.69723811,85.45263957
