time,940420,40106,40048,40777,40766,40108,40481,40282,40482,40678,40483,40284,140317,140077,140078,140079,140080,140081,140082,840083,140085,140307,140087,140088,140089,140220,40296,40359,40298,40360,140003,40361,40300,140315,40488,40491,40493,40492,40489,40304,40305,40316,40436,40285,40287,140316,140022,140021,140020,140019,140018,140017,140016,140015,140014,140236,140243,140242,140013,140012,140011,140180,140010,140009,140008,140300,40499,40500,40292,40502,140049,240500,140051,140055,140052,840062,140063,140216,140064,140065,140071,140072,140073,140074,140075,40761,40512,40513,40052,40511,140057,140056,40007,40510,40509
15,1.1835996,1.7173535,1.6452497,3.6458862,1.976837,4.0196586,4.53206,1.3466738,1.1960862,1.0062039,1.9630595,1.0364752,3.5514615,1.6307129,1.6976914,1.8696524,4.0647664,1.8517727,2.0767095,3.3348591,5.2758207,2.4089613,1.1444703,4.163356,1.5334132,1.8030457,1.6046513,1.9932511,1.5902516,1.769974,1.8420179,2.1495109,3.365314,4.4954166,3.3441014,3.145088,3.8499153,4.714501,5.3047686,2.0992746,2.2549691,1.6476719,1.6087481,2.219366,1.7733672,2.552959,2.099972,1.8214157,2.4473662,2.2000248,2.4254997,2.524943,5.3793726,2.2657473,2.66484,2.975781,1.881288,3.175136,4.066882,4.2530518,2.4354763,2.9044933,3.128917,3.2853599,1.9159467,1.3366797,1.923684,2.6668823,4.445644,4.53261,2.323908,1.5879128,1.5950953,3.6923242,3.9435053,1.4651734,1.1700901,1.2412667,2.2635536,1.0477884,1.6718726,1.602276,1.7799356,1.9788289,3.4806662,1.1980195,1.1345208,1.2969464,2.1624722,1.3187793,2.789535,2.018194,2.116381,1.7578585,2.3554885
30,1.2277731,2.0357375,2.1528182,4.149277,2.1292899,4.7242417,5.9353976,1.7196093,1.2805828,1.3503252,1.9885343,1.167584,5.154272,1.869041,1.8772008,2.1497571,4.812814,2.3037214,2.526301,4.3185663,7.072133,3.0480115,1.3621564,4.4979157,1.6992904,2.0687962,1.8055232,2.5070364,1.841639,1.8758473,1.9728731,2.3958533,4.6805387,6.022432,4.3099537,3.951112,5.04159,6.1013923,6.2666616,2.6687613,2.8611019,2.0083468,1.6441355,2.5524678,2.2917917,3.3160384,2.4190779,2.0329103,3.2780018,3.0377054,3.3853111,3.3061094,6.7830443,2.770974,3.391667,3.7711036,2.3663855,4.0851626,4.9968324,5.585596,3.2186387,3.750623,4.283978,3.8500898,2.3294759,1.6052626,1.9876467,3.3742557,5.2554708,5.9774966,2.5124493,1.9135963,1.915187,4.154582,4.384354,1.5196155,1.1721257,1.2635369,2.4001975,1.1568336,1.8000325,1.8585576,2.02463,2.1628432,4.3567557,1.2787331,1.3871596,1.3327931,2.2429118,1.6472915,3.3129175,2.4977174,2.584349,2.0147543,2.6221838
45,1.4394888,1.932697,2.1576538,4.481093,2.1886392,4.970108,6.442134,1.8357054,1.3092841,1.506678,2.2160494,1.2163138,6.166004,1.9757507,2.0844357,2.3180368,5.141383,2.39828,2.6879568,4.6879005,7.5270486,3.3818755,1.4219369,4.768595,1.6018883,2.2205038,2.0832827,2.5634422,1.8777897,2.0037146,2.1752279,2.4652414,5.1309705,6.471371,4.630581,4.220559,5.608066,6.642808,6.942411,2.7789745,3.0549314,1.9716822,1.5420783,2.8154988,2.613881,3.83178,2.6714025,2.4567525,3.734152,3.344892,3.9583335,3.4407535,7.277448,2.6645505,3.724874,3.857562,2.506249,4.554378,5.4227753,6.141737,3.4420874,4.04651,4.8502345,4.1824718,2.4918318,1.6966838,1.8674982,3.4003384,5.4168735,6.503862,2.3009408,2.1014132,2.0878253,4.050695,4.50808,1.709978,1.0396869,1.5387907,2.6300607,1.4564334,1.9305929,2.0205743,1.998862,2.1414177,4.6877103,1.2355695,1.5731821,1.444543,2.409826,1.963659,3.88602,2.6418214,2.8221958,2.2366965,2.7954412
60,1.4523494,2.0375555,2.1612172,4.819185,2.1139596,5.314748,6.575723,1.935176,1.4426148,1.4582726,2.3321447,1.2337873,6.8692365,1.975232,2.0167356,2.2846947,5.358556,2.2699058,2.6347916,4.7348,7.66465,3.2181523,1.5243653,4.9664497,1.5013871,2.2912447,2.3417015,2.575597,2.031729,1.9888349,2.1958783,2.2701392,5.07389,6.759334,4.5753183,4.312679,5.9550514,7.087746,6.9936266,2.815583,3.1566494,1.916668,1.5791768,2.888071,2.2944381,4.240648,2.7577102,2.5611022,4.0408683,3.220567,4.305607,3.687266,7.691262,2.77262,3.8283048,3.9682293,2.5635262,4.675514,5.488641,6.1994796,3.3841884,4.10206,5.0049396,4.2018414,2.430275,1.8447787,2.0308058,3.4906886,5.3040967,6.8588433,2.3147895,2.4279914,2.4136438,4.271229,4.6725054,1.6428561,1.152832,1.7688315,2.6954856,1.3852723,1.8648602,2.0897124,2.1454244,2.1316082,4.927326,1.1851041,1.8004459,1.5331492,2.5213556,1.8280152,4.0541005,2.8290985,2.9443214,2.3065033,2.9346054
75,1.4394741,2.0089202,2.303794,4.9544005,2.380149,5.4569855,6.8677535,1.945291,1.568259,1.4507384,2.6776972,1.3280401,7.321989,1.8974348,1.889679,2.2947032,5.5840898,2.2169693,2.7004194,4.92008,7.790318,3.6734676,1.5293585,5.0672116,1.6341336,2.3384714,2.4482143,2.8933294,2.0752904,2.0573509,2.1397767,2.3733175,5.227913,6.9612308,4.7689114,4.413634,5.92427,7.2361503,6.9112477,2.9289412,3.124965,1.8731902,1.59738,3.1750927,2.5673795,4.287022,2.8847013,2.4787283,4.1247964,3.1957448,4.3341823,4.0111446,7.7946563,3.0142143,3.8626091,4.0526247,2.4526021,4.5978303,5.7912183,6.454254,3.4960945,4.26695,5.0927844,4.0240107,2.4940283,1.9167206,2.0389223,3.5071268,5.5098066,7.3422003,2.605824,2.6739528,2.6550136,4.3183556,4.651561,1.7964123,1.2403044,1.5293884,2.8386083,1.3766925,2.0572078,2.0503607,2.1148052,2.2924647,4.946652,1.0983136,1.7175207,1.5876904,2.5949802,1.7655628,3.9442453,2.774189,3.188789,2.462843,2.8710265
90,1.4705833,2.0593226,2.186089,4.684347,2.7430906,5.595581,6.813582,1.9035349,1.7435304,1.4880873,2.6300914,1.3603171,7.323741,1.867968,2.030606,2.2040844,5.8675013,2.2929156,2.9514518,4.9182577,7.7349267,3.763292,1.297382,5.0709114,1.8465326,2.4354105,2.2798858,2.8666337,2.126759,2.229578,2.178828,2.4903173,5.305898,7.1532717,5.0413184,4.5509357,6.036324,7.504675,7.0586996,3.1057477,3.1163833,1.7891012,1.6397132,3.2657444,2.7195435,4.4286003,3.042572,2.719651,4.1900177,3.2095172,4.3591566,3.9094145,8.0830555,2.9691093,4.0315495,4.166428,2.5204978,4.6169934,5.8340244,6.6491046,3.6365235,4.406962,5.2605166,4.572878,2.2996523,1.9632113,2.1835215,3.8500187,5.795264,7.3123407,2.385543,2.7277153,2.707429,4.4577856,4.799934,1.860218,1.3945899,1.4729816,2.8895538,1.3860253,2.1489983,2.0290222,2.250549,2.4809196,4.8785114,1.1358017,1.5376166,1.731319,2.634799,1.7215823,4.0854115,2.8471005,3.1044514,2.6365669,2.8475173
